mode	run	bash_startup_us	source_us	init_us	exit_us	total_us
real-no-sqlite	35	2313	6123	8676	1409	18521
real-no-sqlite	36	2173	4355	10154	926	17608
real-no-sqlite	37	2616	5079	9065	1151	17911
real-no-sqlite	38	2194	4476	9609	960	17239
real-no-sqlite	39	3001	4950	9433	1086	18470
real-no-sqlite	40	2077	4483	10068	877	17505
real-no-sqlite	41	3366	4847	9673	1154	19040
real-no-sqlite	42	2189	5907	9433	928	18457
real-no-sqlite	43	2878	5977	9379	898	19132
real-no-sqlite	44	3099	5136	10081	1021	19337
real-no-sqlite	45	2092	5405	9224	967	17688
real-no-sqlite	46	2656	4441	9374	1006	17477
real-no-sqlite	47	2110	5241	9231	946	17528
real-no-sqlite	48	2495	4467	9713	1207	17882
real-no-sqlite	49	2212	6181	11705	1194	21292
real-no-sqlite	50	2120	5778	9122	1005	18025
