variant	run	bash_startup_us	source_us	total_us
detection-registry-loaded	19	3188	12735	16636
detection-registry-loaded	20	3158	12267	16144
detection-registry-loaded	21	3140	12321	16238
detection-registry-loaded	22	3074	12230	16047
detection-registry-loaded	23	3082	12318	16231
detection-registry-loaded	24	3223	13590	17565
detection-registry-loaded	25	3685	13363	17843
detection-registry-loaded	26	3216	12259	16304
detection-registry-loaded	27	3219	12303	16297
detection-registry-loaded	28	3309	12158	16247
detection-registry-loaded	29	3218	12352	16325
detection-registry-loaded	30	3170	12063	15982
detection-registry-loaded	31	3047	12209	16041
detection-registry-loaded	32	3124	12530	16375
detection-registry-loaded	33	3044	12047	15841
detection-registry-loaded	34	3129	12154	16043
detection-registry-loaded	35	3411	12396	16682
detection-registry-loaded	36	3664	13458	17943
detection-registry-loaded	37	3161	12210	16105
detection-registry-loaded	38	3286	13664	17748
detection-registry-loaded	39	3040	12236	16144
detection-registry-loaded	40	3217	13204	17337
detection-registry-loaded	41	3145	12402	16318
detection-registry-loaded	42	4024	13966	18806
detection-registry-loaded	43	3687	13893	18489
detection-registry-loaded	44	3215	13495	17698
detection-registry-loaded	45	3207	12218	16197
detection-registry-loaded	46	3129	12320	16198
detection-registry-loaded	47	3224	12362	16342
detection-registry-loaded	48	3154	12222	16135
detection-registry-loaded	49	3174	12142	16104
detection-registry-loaded	50	3129	12159	16139
settings-permissions	1	3132	2692	6599
settings-permissions	2	3276	2764	6874
settings-permissions	3	3237	2755	6795
settings-permissions	4	3123	2856	6749
settings-permissions	5	3310	2723	6767
settings-permissions	6	3234	2822	6932
settings-permissions	7	3341	2783	6892
settings-permissions	8	3077	2813	6612
settings-permissions	9	3177	2705	6601
settings-permissions	10	3337	2894	7039
settings-permissions	11	3169	2812	6717
settings-permissions	12	3400	2847	7122
settings-permissions	13	3235	2693	6687
settings-permissions	14	3284	3060	7103
settings-permissions	15	3345	3129	7212
settings-permissions	16	4888	3486	9548
settings-permissions	17	3755	3140	7773
settings-permissions	18	3150	3085	7148
settings-permissions	19	3155	3347	7399
settings-permissions	20	3388	3826	8154
settings-permissions	21	3166	2983	6903
settings-permissions	22	3195	2720	6641
settings-permissions	23	3257	3311	7348
settings-permissions	24	4395	3067	8218
settings-permissions	25	3236	2742	6747
settings-permissions	26	3128	2783	6666
settings-permissions	27	3071	2787	6646
settings-permissions	28	3107	2704	6578
settings-permissions	29	3345	2842	7105
settings-permissions	30	3159	2769	6681
settings-permissions	31	3172	2900	6925
settings-permissions	32	3849	2984	7784
settings-permissions	33	3346	2694	6789
settings-permissions	34	3177	2678	6731
settings-permissions	35	3287	2796	6900
settings-permissions	36	3137	2642	6528
settings-permissions	37	3183	2921	6897
settings-permissions	38	3247	2740	6728
settings-permissions	39	3152	2892	6848
settings-permissions	40	3156	2808	6802
settings-permissions	41	3140	2851	6713
settings-permissions	42	3190	2684	6649
settings-permissions	43	3081	2718	6636
settings-permissions	44	3205	2659	6569
settings-permissions	45	3643	2894	7247
settings-permissions	46	3148	2942	6922
settings-permissions	47	3428	4159	8708
settings-permissions	48	3272	2709	6757
settings-permissions	49	3091	2668	6477
settings-permissions	50	3158	2778	6673
settings-permissions-loaded	1	3110	11365	15325
settings-permissions-loaded	2	3096	11677	15594
settings-permissions-loaded	3	3094	11184	15083
settings-permissions-loaded	4	3138	11275	15379
settings-permissions-loaded	5	3149	11283	15218
settings-permissions-loaded	6	3200	11378	15342
settings-permissions-loaded	7	3111	11316	15395
settings-permissions-loaded	8	3446	11585	15829
settings-permissions-loaded	9	3448	11979	16306
settings-permissions-loaded	10	5269	12264	18452
settings-permissions-loaded	11	3246	11375	15410
settings-permissions-loaded	12	3251	11423	15438
settings-permissions-loaded	13	3066	11284	15142
settings-permissions-loaded	14	3130	11280	15180
settings-permissions-loaded	15	3223	11166	15215
settings-permissions-loaded	16	3134	11184	15087
settings-permissions-loaded	17	3169	12550	16608
settings-permissions-loaded	18	3322	12308	16751
settings-permissions-loaded	19	4484	12264	17573
settings-permissions-loaded	20	3382	12234	16428
settings-permissions-loaded	21	3314	11507	15634
settings-permissions-loaded	22	3473	12885	17131
settings-permissions-loaded	23	3067	11349	15246
settings-permissions-loaded	24	3317	11498	15683
settings-permissions-loaded	25	3233	11301	15298
settings-permissions-loaded	26	3265	11205	15287
settings-permissions-loaded	27	3673	11232	15659
settings-permissions-loaded	28	3329	11257	15479
settings-permissions-loaded	29	3261	11114	15125
settings-permissions-loaded	30	3157	11181	15122
settings-permissions-loaded	31	3029	11265	15045
settings-permissions-loaded	32	3084	11253	15392
settings-permissions-loaded	33	3081	11241	15099
settings-permissions-loaded	34	3177	11191	15152
settings-permissions-loaded	35	3168	11640	15583
settings-permissions-loaded	36	3136	11301	15270
settings-permissions-loaded	37	3089	11304	15187
settings-permissions-loaded	38	3353	12611	16833
settings-permissions-loaded	39	3563	12467	16904
settings-permissions-loaded	40	3918	12882	17755
settings-permissions-loaded	41	3360	11376	15499
settings-permissions-loaded	42	4114	13711	18852
settings-permissions-loaded	43	3695	12667	17171
settings-permissions-loaded	44	3057	11061	14916
settings-permissions-loaded	45	3019	11057	14953
settings-permissions-loaded	46	3098	11328	15271
settings-permissions-loaded	47	3004	12337	16094
settings-permissions-loaded	48	3135	11497	15441
settings-permissions-loaded	49	3365	11410	15599
settings-permissions-loaded	50	3552	12086	16510
